timestep,state,rainfall,temperature,soil_moisture,irrigation,crop_biomass,pest_population,run_id
0,NORMAL,3.261528962255766,27.82169414917364,78.78780054306864,0.0,109.30141302623652,5.022736789241962,0
1,NORMAL,2.4371860568853445,24.051272222969253,77.3557523399665,0.0,119.44522088975786,5.094344074712391,0
2,NORMAL,3.950722793772753,27.333375806286845,76.9070162758466,0.0,130.49085240567476,5.2213949464438,0
3,NORMAL,17.93289437068564,22.422122611350286,91.2289639735778,0.0,142.4963457951752,5.412920075924142,0
4,NORMAL,3.5497318829985884,24.850222267041243,90.77433176692779,0.0,155.5157566105953,5.681217523779019,0
5,NORMAL,4.66543855015313,24.536411553793595,91.48341807961556,0.0,169.5953744915858,6.042990569847882,0
6,NORMAL,6.260721121974884,26.096332193092234,93.53331951284653,0.0,184.76823578391804,6.520954334289637,0
7,NORMAL,11.435085749814615,23.780754950846152,100.0,0.0,201.0461942009568,7.146112319831515,0
8,NORMAL,4.106860954388389,28.386916878162676,99.51929760105475,0.0,218.40849575847304,7.9609848840093385,0
9,NORMAL,4.001517518267903,26.951778363474105,99.16143860220373,0.0,236.78537840659186,9.024170578671127,0
10,NORMAL,12.354058692273632,25.69648396920016,100.0,0.0,256.03469003700434,10.416717993151199,0
11,NORMAL,9.826170230865308,25.670786646324046,100.0,0.0,275.9089883353425,12.25081389159494,0
12,NORMAL,8.777210173106734,26.893864677515623,100.0,0.0,296.01037913964683,14.681081126013094,0
13,NORMAL,6.435494754859539,23.083366455269974,100.0,0.0,315.7313116296841,17.917940724776113,0
14,NORMAL,22.18712857386505,27.904835063774442,100.0,0.0,334.1835325110418,22.24027976393621,0
15,NORMAL,6.353185791425245,26.758666994077835,100.0,0.0,350.12778596264786,27.999951530074412,0
16,NORMAL,14.574993624339347,23.6129446220063,100.0,0.0,361.9380077843553,35.60261869879334,0
17,NORMAL,7.15846051738162,21.600138357989557,100.0,0.0,367.6663663363932,45.44044173615974,0
18,NORMAL,11.97206690029165,27.071456062203303,100.0,0.0,365.3029741349026,57.75313137313098,0
19,NORMAL,9.399165632993938,24.071960380839286,100.0,0.0,353.2949630602716,72.42685034684582,0
20,NORMAL,4.749261405350184,23.85478631800501,100.0,0.0,331.23595835850773,88.81625383692045,0
21,NORMAL,11.888529315822227,25.037482356183062,100.0,0.0,300.3895187546184,105.74024934301084,0
22,NORMAL,11.560767861398322,24.70454354647173,100.0,0.0,263.6178325131303,121.74166231121423,0
23,NORMAL,7.829273479978189,20.658662582730738,100.0,0.0,224.6072621360769,135.5022800381126,0
24,NORMAL,3.411372489893334,22.283562833919817,99.80596203615606,0.0,186.80584863699062,146.1699696516166,0
